Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.218H.,A.211.,0.9,A.218H.,1,18770,16311.13,15024.94549,14174.37197,13547.91859,13056.67763,12655.26203,12317.52924,12027.11704,11773.14126
A.218J.13,A.212.141,0.9,A.218J.,1,42794.30905,37188.25456,34255.84233,32316.59321,30888.3226,29768.32699,28853.12704,28083.1195,27420.99966,26841.95234
A.218J.141,A.218J.13,0.9,A.218J.,1,277924.9059,241516.7433,222472.3794,209878.0499,200602.2376,193328.4977,187384.7901,182384.0254,178083.9304,174323.3445
A.218J.142,A.218J.141,0.5,A.218J.,1,12323.96025,10709.52146,9865.041605,9306.574145,8895.258933,8572.721155,8309.160695,8087.412932,7896.734808,7729.980012
A.218J.145,A.218J.141,0.9,A.218J.,1,754.5596054,655.7122971,604.0072956,569.8139862,544.6303733,524.8823399,508.7453131,495.168354,483.4936969,473.2837944
A.218J.146,A.218J.141,0.9,A.218J.,1,323.382688,281.0195559,258.8602695,244.2059941,233.4130171,224.9495742,218.0337056,212.2150088,207.2115844,202.8359119
A.218J.147,A.218J.146,0.9,A.218J.,1,183.2501899,159.244415,146.6874861,138.3833967,132.2673764,127.4714254,123.5524332,120.2551717,117.4198978,114.9403501
A.218J.149,A.218J.141,0.9,A.218J.,1,2303.716673,2001.929789,1844.071254,1739.676986,1662.789874,1602.497919,1553.230589,1511.779301,1476.135858,1444.964401
A.218J.21,A.218J.141,1,A.218J.,1,24638.68099,21411.01378,19722.6872,18606.17098,17783.84892,17139.01518,16612.09186,16168.76258,15787.54929,15454.16471
A.218J.22,A.218J.141,1,A.218J.,1,8742.111999,7596.895327,6997.855953,6601.70204,6309.931896,6081.136823,5894.177841,5736.879072,5601.619831,5483.330817
A.218J.24,A.218J.141,1,A.218J.,1,9239.505372,8029.130168,7396.007701,6977.314116,6668.943346,6427.130692,6229.534446,6063.285967,5920.330982,5795.311768
A.218K.,A.211.,0.9,A.218K.,1,14232,12367.608,11392.38275,10747.45135,10272.45484,9899.980608,9595.614772,9339.535225,9119.33563,8926.763258
A.218L.,A.211.,0.9,A.218L.,1,31016,26952.904,24827.58174,23422.07358,22386.90693,21575.16853,20911.85974,20353.78194,19873.89783,19454.22212
A.218P.,A.212.141,0.9,A.218P.,1,9331,8108.639,7469.247008,7046.407291,6734.982865,6490.77565,6291.222698,6123.327936,5978.957333,5852.70011
A.218S.,A.211.,0.9,A.218S.,1,29387,25537.303,23523.60538,22191.91631,21211.11793,20442.01308,19813.54211,19284.77527,18830.09529,18432.46149
A.218T.11,A.212.141,0.9,A.218T.,1,18091.46677,15721.48462,14481.79552,13661.97013,13058.16297,12584.68031,12197.77584,11872.25205,11592.33821,11347.54362
A.218T.13,A.218T.11,0.9,A.218T.,1,10573.62912,9188.483705,8463.942522,7984.79234,7631.89486,7355.166051,7129.038208,6938.784543,6775.1878,6632.116634
A.218T.141,A.218T.13,0.9,A.218T.,1,166383.6286,144587.3733,133186.1987,125646.4274,120093.3327,115738.8067,112180.5231,109186.7454,106612.4334,104361.1061
A.218T.142,A.218T.141,0.5,A.218T.,1,8980.34254,7803.917667,7188.553922,6781.604453,6481.883306,6246.853358,6054.799573,5893.214269,5754.26909,5632.756593
A.218T.145,A.218T.141,0.9,A.218T.,1,728.4399367,633.014305,583.0991124,550.089431,525.7775685,506.7131287,491.1346977,478.0277156,466.7571858,456.900707
A.218T.147,A.218T.145,0.9,A.218T.,1,84.37528224,73.32212027,67.54043773,63.71692251,60.90087666,58.69264039,56.88818892,55.37000566,54.0645389,52.92286182
A.218T.149,A.218T.141,0.9,A.218T.,1,1617.19291,1405.340639,1294.525057,1221.241015,1167.266803,1124.942274,1090.356954,1061.258442,1036.236996,1014.354852
A.218T.21,A.218T.141,1,A.218T.,1,773.4400872,672.1194358,619.1206792,584.0717897,558.258036,538.0158702,521.4750651,507.5583852,495.5916066,485.1262333
A.218T.22,A.218T.141,1,A.218T.,1,2729.540381,2371.970591,2184.933161,2061.242443,1970.14336,1898.706917,1840.332912,1791.219683,1748.987833,1712.05458
A.218T.24,A.218T.141,1,A.218T.,1,4921.891464,4277.123682,3939.858868,3716.82048,3552.551138,3423.737356,3318.477687,3229.916997,3153.764769,3087.166939
A.218V.,A.211.,0.9,A.218V.,1,3759.000001,3266.571001,3008.991481,2838.6502,2713.192648,2614.813597,2534.423548,2466.787024,2408.627223,2357.764411
A.221.1,A.212.141,0.5,A.212.,3,131195.688,114009.0529,105019.0762,99073.86697,94695.17853,91261.57725,88455.82364,86095.1904,84065.31143,82290.11014
A.221.2,A.221.1,1,A.212.,3,22543.25406,19590.08778,18045.34701,17023.78628,16271.39962,15681.40655,15199.29607,14793.67028,14444.87774,14139.84627
A.221.3,A.221.1,1,A.212.,3,25060.4356,21777.51854,20060.29189,18924.66361,18088.26539,17432.39365,16896.45068,16445.53267,16057.79393,15718.70262
A.222.11,A.222.14,1,A.212.,3,134929.0862,108264.4885,98015.02739,91750.11313,87501.92492,86678.94994,86678.94994,86678.94994,86678.94994,86678.94994
A.222.12,A.222.14,1,A.212.,3,402491.9526,349765.5068,322185.3834,303946.2254,290512.9572,279979.0982,271371.3973,264129.2699,257901.8553,252455.7598
A.222.13,A.221.1,1,A.212.,3,67442.8114,54114.80714,48991.72736,45860.27926,43736.86937,43325.51443,43325.51443,43325.51443,43325.51443,43325.51443
A.222.14,A.221.1,1,A.212.,3,10205.57576,8868.645334,8169.324424,7706.852796,7366.239188,7099.142925,6880.886278,6697.255079,6539.352912,6401.261854
A.223.1,A.222.11,1,A.212.,3,142227.9633,123596.1001,113850.1542,107405.011,102658.1176,98935.78404,95894.09397,93334.95454,91134.38259,89209.90422
A.223.3,A.222.11,1,A.212.,3,231152.8956,200871.8663,185032.4803,174557.6518,166842.8669,160793.2254,155849.785,151690.5994,148114.1679,144986.4513
A.223.4,A.212.141,1,A.212.,3,237570.5952,206448.8473,190169.6986,179404.0483,171475.0711,165257.4681,160176.7786,155902.1179,152226.3908,149011.8368
A.223.5,A.212.141,1,A.212.,3,22944.54602,19938.81049,18366.57183,17326.82632,16561.04643,15960.55092,15469.8584,15057.01207,14702.01068,14391.54935
A.224.1,A.222.11,1,A.216.,3,436586.2348,379393.438,349477.058,329692.8977,315121.7244,303695.5634,294358.7215,286503.1281,279748.2017,273840.7785
A.224.2,A.222.11,1,A.216.,3,22641.9925,19675.89148,18124.38482,17098.3497,16342.66761,15750.09041,15265.8683,14858.46589,14508.14565,14201.77816
A.224.3,A.222.11,1,A.216.,3,59533.77275,51734.84852,47655.39106,44957.58336,42970.62902,41412.53483,40139.34438,39068.13994,38147.02466,37341.47662
A.225.111,A.217.142,0.5,A.215.,3,2955.235066,2568.099272,2365.596471,2231.678267,2133.046568,2055.703334,1992.502617,1939.328414,1893.604583,1853.617468
A.225.112,A.217.142,0.9,A.215.,3,549.6818787,477.6735526,440.0074727,415.0983172,396.7525489,382.3664938,370.6109862,360.7204376,352.2156788,344.777965
A.225.113,A.217.142,0.9,A.215.,3,2748.409394,2388.367763,2200.037364,2075.491586,1983.762745,1911.832469,1853.054931,1803.602189,1761.078395,1723.889825
A.225.114,A.217.142,0.5,A.215.,3,7635.62736,6635.360176,6112.140908,5766.127993,5511.287046,5311.450449,5148.15477,5010.765226,4892.625677,4789.308443
